iter	MultiLogloss
0	0.112848689
1	0.05051588764
2	0.03025831303
3	0.02296979504
4	0.01773089917
5	0.01333147967
6	0.01063526996
7	0.009591406103
8	0.008201320448
9	0.007036962876
10	0.006796145173
11	0.005620470423
12	0.005197586761
13	0.004534731771
14	0.004151122973
15	0.00375829573
16	0.003470023253
17	0.003189096208
18	0.002935779095
19	0.002691017886
20	0.00250972503
21	0.002372940095
22	0.002263585698
23	0.002142504415
24	0.002041655856
25	0.001939527427
26	0.001847289256
27	0.001766902328
28	0.00167369902
29	0.001609193459
30	0.001546747846
31	0.001497488873
32	0.001447488111
33	0.00140766806
34	0.001365801173
35	0.001327856302
36	0.001291716949
37	0.001256647747
38	0.001216051089
39	0.001185326551
40	0.001154961199
41	0.001124140478
42	0.001099827667
43	0.00107622664
44	0.001055185708
45	0.001026531479
46	0.001001773746
47	0.0009765248667
48	0.0009570727719
49	0.000938564874
